SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on eno3 succeeded.
1 slaves found and configured.
Found slaves with DC.
Slaves mapped, state to SAFE_OP.
segments : 1 : 20 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.


CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   58, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   59, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   60, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   61, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   62, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   63, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   64, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   65, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   66, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   67, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   68, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   69, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   70, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
